Kabupaten/Kota,,,,,,,,,,,,,,,,
Garut,3126.44,2884.9,62.71,51.16,2.78,10.82,128.21,130.66,1699.89,1527.96,1200.32,1113.66,29.71,37.37,2.82,13.28
Tasikmalaya,2555.91,2883.77,72.28,111.97,28.1,19.03,45.41,95.75,1244.16,1413.56,1131.74,1212.5,34.22,30.96,-,-
Ciamis,3462.89,3509.61,155.06,98.48,2.73,1.47,83.03,114.56,1693.34,1744.82,1487.76,1522.61,40.96,24.69,-,2.98
Kuningan,4791.54,4186.72,183.35,106.87,49.09,22.89,126.17,92.09,2047.09,1867.14,2199.21,1889.49,168.81,196.88,17.82,11.38
Cirebon,3178.47,3443.44,83.85,114.25,11.81,10.34,25.31,33.1,1456.86,1545.16,1485.69,1623.59,104.41,113.14,10.54,3.86
Majalengka,3246.68,2997.67,108.85,51.66,5.55,11.14,57.23,53.19,1472.63,1448.22,1356.09,1289.25,241.04,143.48,5.28,0.73
Sumedang,3234.91,3263.23,84.14,61.25,2.78,7.54,113.94,166.48,1719.02,1661.05,1160.43,1237.12,152.46,125.24,2.14,4.54
Indramayu,4056.33,4056,448.2,422.87,11.52,13.8,11.69,2.41,1512.75,1525.4,1897.27,1950.5,174.91,141.03,-,-
Subang,2967.95,3320.6,46.21,32.58,-,4.25,25.98,13.1,1387.45,1629.14,1400.47,1530.26,107.84,111.26,-,-
Purwakarta,3325.24,3290.56,63.16,82.31,6.81,18.26,60,39.98,1682.89,1630.34,1401.6,1430.7,99.9,88.96,10.89,-
Karawang,2828.73,2885.2,41.62,55.6,24.01,4.59,15.49,-,1233.06,1299.43,1342.11,1407.24,169.04,118.34,3.4,-
Bekasi,3655.16,3820.51,107.53,91.18,38.42,2,47.84,38.57,1570.49,1681.67,1661.68,1812.11,226.58,192.03,2.62,2.97
Bandung Barat,2539.8,3440.39,21.38,39.61,3.64,7.08,66.74,89.93,1478.39,1961.71,961.91,1318.46,5.97,17.81,1.77,5.8
Pangandaran,2975.94,3357.24,163.47,142.46,3.73,27.17,77.2,4.23,1299.68,1483.56,1399.49,1664.86,32.37,33.13,-,1.83
Kota Bogor,3800.48,3296.11,109.37,95.79,1.43,-,56.01,31.35,1738.22,1529.65,1751.48,1497,140.06,135.81,3.9,6.51
Kota Sukabumi,3032.92,3073.96,70.78,19.97,47.29,-,95.92,77.09,1696.47,1707.16,1018.79,1188.01,103.66,81.73,-,-
Kota Bandung,4634.59,4540.27,62.71,57.1,17.63,7.19,291.9,290.23,2627.8,2565.88,1603.4,1558.21,24.03,39.18,7.13,22.48
Kota Cirebon,3231.82,3163.77,81.08,102.76,3.23,14.34,53.31,44.36,1504.52,1358.16,1504.9,1541.74,65.22,88.9,19.56,13.53
Kota Bekasi,4576.59,4715.84,190.86,231.44,27.6,69.71,100.36,81.57,2033.48,2093.47,2099.49,2106.49,110.53,128.85,14.28,4.32
Kota Depok,4642.01,4957.23,204.21,168.82,11.62,13.06,98.8,99.17,2060.96,2355.49,2148.94,2205.08,108.77,100,8.71,15.6
Kota Cimahi,3993.72,4353.01,55.02,93.73,11.71,8.96,196.38,284.29,2394.18,2486.32,1300.84,1438.67,25.92,24.01,9.67,17.02
Kota Tasikmalaya,2594.42,2750.73,72.64,35.4,6.21,9.86,146.76,45.29,1258.78,1467.58,1068.84,1150.16,40.43,36.65,0.75,5.8
Kota Banjar,2605.18,2889.43,78.13,137.06,3.01,-,113.98,33.69,1183.89,1348.46,1210.57,1353.95,15.61,16.27,-,-
Cilacap,2713.52,2944.28,71.35,79.7,4.56,1.66,13.28,28.99,1125.38,1280.48,1489.53,1538.85,3.66,7,5.77,7.6
Banyumas,2933.08,3354.85,104.45,124.89,34.48,17.45,32.48,57.52,1383,1586.99,1328.91,1532.07,14.15,19.68,35.61,16.23
Purbalingga,3347.11,3255.14,123.82,91.95,11.36,11.84,26.56,16.76,1426.77,1428.74,1742.19,1690.37,6.97,8.59,9.44,6.9
Banjarnegara,3730.71,3225.68,111.11,54.24,10.44,5.15,56.6,42.91,1687.37,1475.1,1840.62,1636.63,12.11,3.23,12.46,8.42
Kebumen,3837.58,4245.61,118.63,129.17,26.42,3.85,25.93,12.31,1499.24,1594.3,2152.6,2500.96,6.92,4.66,7.84,0.37
Purworejo,3297.49,3169.47,72.86,77.24,12.33,-,35.55,20.26,1518.49,1459.07,1646.28,1600.51,6,11.66,5.98,0.73
Wonosobo,3394.89,3648.19,51.47,78.07,3.95,3.46,79.29,91.73,1662.24,1682.27,1578.85,1779.16,4.96,3.29,14.14,10.2
Magelang,3734.95,3460.71,62.79,66.89,-,4.26,55.99,33.88,1832.88,1775.97,1766.49,1569.15,10.2,4.32,6.61,6.25
Boyolali,4090.05,3558.12,136.59,28.19,1.49,3.83,32.59,12.97,2012.9,1788.75,1885.77,1698.18,14.1,10.11,6.62,16.1
Klaten,3369.65,3640.3,54.95,51.46,8.96,6.87,61.79,39.64,1657.79,1667.34,1571.93,1852.4,10.05,14.05,4.18,8.55
Sukoharjo,3536.58,3652.72,169.57,65.57,4.72,2.79,97.35,5.27,1601.09,1823.66,1622.32,1740.85,33.71,4.85,7.81,9.74
Wonogiri,4513.29,4800.53,132.01,76.95,8.81,17.01,22.63,34.33,2075.38,2321.14,2258.86,2331.63,7.49,0.47,8.12,19
Karanganyar,4030.08,3870.18,63.63,54.42,13.34,0.87,60.62,39.61,1777.49,1769.94,2099.71,1959.36,14.56,43.23,0.73,2.76
Sragen,3784.98,3963.54,42.09,72.92,9.26,32.5,36.23,50.51,1962.61,2008.88,1707.06,1779.96,16.92,7.39,10.8,11.39
Grobogan,3201.64,3717.64,41.41,72.52,11.17,9.24,0.56,23.82,1499.22,1713.74,1633.94,1889.35,14.46,5.88,0.87,3.08
Blora,3305.52,3416.99,169.47,85.86,13.04,1.88,13.48,24.1,1173.53,1327.12,1916.94,1955.96,9.08,10.51,9.97,11.56
Rembang,3238.66,3541.7,69.41,47.89,6.8,4.34,6.59,23.15,1053.63,1260.22,2090.93,2192.63,8.73,13.11,2.57,0.37
Pati,2439.32,2694.28,67.57,74.72,5.46,5.55,12.55,24.45,824.08,866.27,1525.29,1718.51,4.38,2.72,-,2.05
Kudus,3277.96,3547.96,51.6,61.09,0.8,8.49,24.86,9.78,1677.97,1850.12,1521.8,1613.23,0.24,5.26,0.69,-
Jepara,2950.81,3473.49,43.47,27.26,6.57,33.49,61.99,10.25,1380.92,1620.22,1451.94,1779.51,4.69,2.76,1.23,-
Demak,3348.95,3611.78,58.08,83.19,5.1,7.33,17.4,6.43,1545.11,1612.23,1722.75,1877.78,0.01,20.86,0.5,3.96
Semarang,4423.72,4408.82,51.78,96.05,-,3.65,14.38,14.62,2183.99,2057.12,2146.94,2215.75,7.45,15.75,19.18,5.88
Temanggung,2848.92,3013.97,34.5,53.04,0.53,-,62.88,43.39,1479.09,1532.69,1256.58,1376.24,1.17,1.49,14.17,7.12
Kendal,3473.36,3722.81,57.37,74.96,0.29,19.44,55.52,20.79,1622.93,1721.9,1724.7,1864.16,5.16,9.45,7.41,12.11
Batang,3303.4,3295.48,8.63,16.23,0.64,-,17.34,7.67,1511.57,1541.1,1760.32,1706.62,3.7,13.34,1.22,10.52
Pekalongan,3073.45,3338.04,90.85,33.5,4,2.58,30.36,11.91,1217.57,1367.92,1697.3,1883.01,12.79,34.43,20.58,4.7
Pemalang,3803.85,3532.69,32.5,28.35,4.06,0.34,28.6,40.9,1582.91,1614.34,2103.61,1818.49,40.95,23.27,11.23,6.99
Tegal,4038.58,3758.54,36.66,40.78,10.95,1.66,41.35,27.45,1687.33,1508.07,2211.87,2143.33,33.89,22.86,16.53,14.39
Brebes,2973.78,3500.52,25.53,25.08,5.69,15.07,41.83,12.55,1241.28,1494.51,1622.88,1904.84,33.66,41.11,2.91,7.36
Kota Magelang,3887.91,3989.97,107,63.44,-,22.61,193.21,133.26,1744.24,1900.02,1835.6,1804.1,0.26,0.16,7.61,66.38
Kota Surakarta,3632.25,4593.37,100.07,64.75,23.55,21.64,85.77,36.77,1632.38,2143.16,1753.96,2288.23,1.09,27.93,35.44,10.89
Kota Salatiga,4329.13,4946.55,52.39,46.71,2.41,0.88,76.91,72.98,2073.57,2309.37,2083.11,2475.84,2.81,22.72,37.93,18.04
Kota Semarang,4352.01,4587.36,50.5,78.32,35.58,16.4,47.54,164.17,1949.61,1870.68,2236.51,2261.36,6.85,6.03,25.41,190.4
Kota Pekalongan,2712.57,3047.84,18.77,15.97,5.8,2.24,16,17.53,1131.82,1147.85,1525,1854.09,5.33,3.08,9.86,7.08
Kota Tegal,3218.76,3061.19,31.25,58.28,0.77,31.63,51.3,49.47,1385.61,1352.25,1710.47,1551.65,18.87,12.09,20.5,5.82
Kulon Progo,2916.85,3203.58,50.05,36.33,3.47,0.58,33.28,26.96,1252.43,1430.43,1575.15,1706.07,0.88,-,1.58,3.21
Bantul,3580.53,3438.33,110.15,98.21,4.24,2.55,28.65,11.64,1443.52,1434.33,1982.23,1876.32,2.14,6.81,9.59,8.48
Gunung Kidul,3991.72,3840.05,196.67,119.85,58.71,19.18,98,55.27,1771.24,1768.59,1853.77,1874.78,9.2,1.29,4.12,1.09
Sleman,3397.36,3693.44,80.59,172.27,0.29,8.03,65.86,71.22,1404.69,1504.49,1827.57,1909.82,5.54,10.16,12.81,17.45
Kota Yogyakarta,3114.27,3237.57,107.5,145.53,13.44,17.19,45.82,40.56,1357.17,1416.93,1572.31,1610.88,1.63,4.31,16.4,2.17
Pacitan,3710.2,3371.71,19.76,69.39,2.32,5.47,-,5.8,1908.55,1748.94,1770.54,1537.29,7.23,1.76,1.79,3.06
Ponorogo,3584.18,3347.47,143.94,104.92,30.85,15.89,63.16,40.59,1448.3,1335.88,1862.77,1790.85,6.91,5.99,28.24,53.36
Trenggalek,2854.96,2997.22,52.71,52.59,2.65,2.45,45.31,40.58,1200.39,1272.55,1542.07,1623.81,3.29,0.72,8.54,4.52
Tulungagung,3612.54,3858.99,70.38,103.68,1.46,28.61,108.02,107.67,1848.26,1830.72,1551.67,1768.73,3.16,15.79,29.58,3.79
Blitar,2997.37,2687.81,102.59,54.92,8.7,4.2,90.35,44.82,1389.28,1338.16,1377.99,1215.18,0.26,1.57,28.2,28.97
Kediri,4292.55,4450.33,179.62,179.67,11.32,7.06,82.64,113.03,2229.93,2237.52,1777.91,1891.69,-,1.36,11.13,20.01
Malang,3879.97,3714.09,100.71,64.48,2.26,12.42,9.07,24.04,1774.34,1738.43,1925.69,1810.44,26.1,31.64,41.79,32.65
Lumajang,4300.22,4521.32,239.97,273.66,13.9,24.32,21.34,27.52,1954.13,1958.4,2055.78,2223.82,15.11,13.14,-,0.47
Jember,4261.76,4365.29,212.28,208.96,21.98,13.58,40.04,18.73,1888.86,2031.63,2068.31,2077.11,19.84,10.57,10.44,4.72
Banyuwangi,3714.99,3607.05,85.83,47.17,18.66,0.85,52.33,28.99,1796.35,1714.3,1736.98,1784.83,8.51,16.64,16.34,14.27
Bondowoso,4257.18,4671,175.8,136.99,19.49,1.6,23.23,37.95,2043.01,2459.63,1993.36,2029.11,-,5.01,2.29,0.7
Situbondo,4610.96,3935.09,304.23,266.39,-,3.93,18.3,19.52,2545.47,2047.33,1737.94,1595.7,5.02,2.04,-,0.18
Probolinggo,3892.65,3848.11,164.74,95.34,-,10.09,50.63,18.25,1911.26,1851.54,1758.36,1865.24,1.99,5.77,5.66,1.89
Pasuruan,4453.68,4857.89,149.34,143.21,4.96,6.69,24.29,13.94,1881.76,2029.12,2350.34,2634.17,22.8,23.6,20.19,7.15
Sidoarjo,4534.25,4974.16,149.79,91.04,38.15,18.78,90.02,57.1,2050.39,2311.11,2184.02,2472.85,1.37,10.1,20.51,13.17
Mojokerto,4209.12,4757.95,193.97,294.31,19.14,12.41,114.98,95.46,1917.33,2185.08,1953.04,2161.88,6.72,6.09,3.93,2.72
Jombang,4172.79,4313.26,158.66,179.58,2.33,17.2,145.17,64.96,1930.37,2064.34,1911.2,1979.15,12.58,2.61,12.47,5.43
Nganjuk,5393.17,5120.25,112.26,62.52,6.02,5.53,81.97,12.97,2485.85,2462.14,2703.7,2557.26,-,11.83,3.38,8
Madiun,4129.55,4016.07,191.3,76.04,11.65,1.62,50.46,43.27,1728.4,1723.83,2127.94,2163.86,6.73,5.34,13.07,2.11
Magetan,4092.27,3991.48,191.24,147.52,12.05,3.89,74.34,38.21,1605.21,1683.47,2187.41,2058.67,2.03,3.5,20,56.2
Ngawi,3571.1,3231.18,110.31,68.25,1.26,4.14,6.56,14.89,1480.16,1339.06,1953.68,1785.75,7.04,4.91,12.09,14.17
Bojonegoro,3704.52,3546.35,118.36,122.01,21.78,13.77,6.65,2.43,1222.26,1268.05,2309.99,2128.58,21.78,7.36,3.7,4.15
Tuban,3099.32,3465.22,62.91,129.06,3.63,10.09,26.41,23.88,1290.95,1443.12,1708.84,1850.67,5.59,4.5,0.99,3.9
Lamongan,2951.29,3086.48,137.74,169.96,5.25,6.05,40.58,56.95,1455.25,1449.36,1307.15,1390.53,5.32,10.54,-,3.09
Gresik,3690.25,3437.71,150.21,86.95,21.64,26,148.28,67.15,1743.8,1644.02,1616.21,1602.56,6.6,6.8,3.49,4.23
Bangkalan,2829.4,3142.66,522.21,672.03,3.6,-,56.57,8.34,1247.38,1358.11,989.42,1100.53,7.99,3.64,2.21,-
Sampang,3710.2,2912.48,494.84,405.81,2.68,0.96,9.98,1.92,1811.73,1323.26,1389.38,1180.53,1.59,-,-,-
Pamekasan,2857.11,2650.71,638.47,458.09,-,-,10.45,27.22,1279.24,1230.04,923.79,932.35,5.03,3.01,0.14,-
Sumenep,3748.33,5366.75,938.18,1806.68,5.2,10.83,50.63,35.54,1637.88,1997.68,1098.49,1490.25,12.61,12.09,5.33,13.66
Kota Kediri,4282.36,4429.42,39.82,63.01,4.76,-,73.62,43.41,2386.72,2452.8,1735.03,1825.85,9.51,3.06,32.89,41.29
Kota Blitar,3430.55,3064.47,100.82,55.58,24.84,4.69,66.54,12.7,1578.82,1547.18,1633.84,1433.66,-,5.08,25.7,5.56
Kota Malang,5361.55,5816.84,104.6,165.89,13.58,5.48,69.76,35.29,2422.68,2664.47,2642.04,2812.92,25.32,43.42,83.58,89.37
Kota Probolinggo,4411.23,4132.99,90.25,92.49,-,-,54.6,44.21,2226.29,2113.36,2028.29,1882,0.6,-,11.2,0.93
Kota Pasuruan,4664.28,4886.92,62.12,73.24,-,2.11,25.67,32.28,2150.33,2245.32,2372.56,2516.66,1.02,9.95,52.59,7.36
Kota Mojokerto,4994.19,4762.59,81.9,121.09,-,-,43.5,93.77,2407.32,2249.91,2457.04,2295.81,-,-,4.44,2.02
Kota Madiun,4142.13,4856.41,111.24,100.96,1.22,11.51,91.76,14.67,1669.92,2057.35,2241.31,2643.48,17.44,12.53,9.24,15.9
Kota Surabaya,4506.76,4485.05,111.69,114.39,2.65,12.47,99.46,47.41,2148.96,2215.41,2129.96,2062.77,5.99,10.69,8.05,21.9
Kota Batu,4469.35,5107.53,150.61,141.44,-,43.17,60.81,29.61,1967.82,2204.67,2256.46,2650.88,19.44,27.54,14.21,10.22
Pandeglang,2565.64,2692.98,53.22,34.79,2.32,6.06,12.22,8.2,1068.59,1026.17,1340.11,1489.35,89.18,128.42,-,-
Lebak,3368.47,3720.13,146.91,219.72,65.26,97.21,81.81,17.94,1372,1530.7,1595.78,1706.75,105.15,143.71,1.56,4.11
Tangerang,3014.54,3338.53,51.1,140.45,2.52,19.55,12.31,33.77,1352.26,1473.78,1466.8,1507.1,123.93,162.56,5.63,1.3
Serang,2768.86,3482.88,71.68,56,0.54,1.16,6.42,7.88,1177.26,1510.33,1420.51,1751.34,92.46,156.17,-,-
Kota Tangerang,4078.7,4583.65,98.65,177.92,2.18,21.67,40.45,11.53,1871.67,2128.11,1956,2061.1,105.54,182.2,4.22,1.12
Kota Cilegon,3858.67,3528.28,88.38,89.9,-,-,56.64,92.73,1671.29,1542.67,1954.69,1725.03,84.56,76.76,3.11,1.19
Kota Serang,3763.1,4143.94,13.86,133.47,-,13.19,69.31,38.32,1684.13,1878.62,1910.67,1977.74,84.25,102.6,0.89,-
Kota Tangerang Selatan,4585.94,4209.54,140.63,64.23,19.47,10.61,16.4,54.37,2283.63,1972.39,2025.97,2011.5,99.84,93.88,-,2.56
Jembrana,3096.04,3067.49,215.96,60.79,10.19,7.11,44.79,22.36,1578.57,1580.46,1243.42,1396.77,3.11,-,-,-
Tabanan,3370.22,2936.49,338.06,174.97,11.05,16.31,44.64,22.18,1461.52,1327.48,1513.17,1387.79,1.78,1.56,-,6.2
Badung,4139.51,3522.18,208.27,164.44,16.81,66.15,62.05,45.74,1944.66,1619.17,1907.73,1626.14,-,0.54,-,-
Gianyar,3204.38,3442.61,150.24,99.52,26.62,6.94,74.28,88.56,1454.21,1574.57,1499.03,1654.06,-,15.65,-,3.31
Klungkung,2988.9,3429.63,202.26,180.07,46.43,44.42,169.78,116.05,1277.55,1507.77,1291.1,1537.16,1.77,-,-,44.16
Bangli,3717.34,3755.34,275.42,302.42,19.22,13.86,86.24,137.64,1723.51,1706.67,1543.53,1570.87,-,-,69.42,23.86
Karangasem,2064.31,2218.46,263.14,157.66,12.13,34.63,158.97,292.69,733.98,812.93,840.25,920.56,4.38,-,51.46,-
Buleleng,2816.12,2701.58,403.26,322,56.92,40.84,181.93,131.01,983.47,1061.64,1178.13,1115.74,-,2.95,12.41,27.4
Kota Denpasar,3902.69,3953.62,228.29,148,31.1,45.65,36.41,50.17,1805.35,1764.6,1800.02,1944.31,-,0.88,1.51,-
Lombok Barat,3155.46,3579.84,327.29,289.72,92.87,109.58,68.77,110.69,1248.32,1457.97,1416.59,1605.26,1.62,3.19,-,3.43
Lombok Tengah,3191.85,3529.21,434.89,431.37,222.64,221.27,254.17,213.84,1089.25,1290.45,1161.98,1330.63,3.3,-,25.61,41.64
Lombok Timur,4609.19,4330.57,546.77,438.01,288.03,269.93,147.47,171.57,1889.2,1791.5,1715.14,1624.82,19.36,5.66,3.22,29.09
Sumbawa,2256.73,2535.76,224.3,284.08,16.02,13.65,25.1,29.91,1063.8,1212.35,927.01,992.73,0.5,3.04,-,-
Dompu,1857.78,1981,122.27,28.97,11.86,5.22,31.13,20.8,933.7,1026.39,755.1,895.16,3.72,4.45,-,-
Bima,1654.85,1610.13,301.47,342.77,1.43,4.41,68.68,45.08,678.09,663.51,603.55,554.36,1.64,-,-,-
Sumbawa Barat,3048.3,2976.56,347.52,197.66,41.92,35.28,37.32,10.14,1246.71,1302.52,1363.13,1387.22,7.43,2.27,4.28,41.47
Lombok Utara,3064.82,4037.56,366.07,609.91,42.69,123.4,202.25,133.3,1276.85,1564.71,1160.43,1592.74,-,12.09,16.52,1.42
Kota Mataram,4595.4,4619.43,380.92,342.67,95.93,48.15,115.91,69.35,1905.26,1997.53,2089.44,2145.28,2.72,15.07,5.23,1.38
Kota Bima,2560.18,2596.42,178.52,135.72,-,3.52,24.06,16.75,1240.35,1183.49,1114.23,1235.49,3.02,-,-,21.45
Sumba Barat,1115.52,1314.39,70.19,53.85,-,-,17.43,43.07,567.91,659.58,459.99,547.77,-,-,-,10.13
Sumba Timur,1474.84,1694.43,221.65,276.17,6.57,-,178.37,73.77,615.86,792.25,452.39,545.14,-,0.44,-,6.67
Kupang,1874.42,2336.19,282.1,645.91,-,5.72,418.19,194.15,580.31,715.47,583.04,766.38,1.1,2.9,9.68,5.65
Timor Tengah Selatan,2602.81,3656.68,533.6,1153.42,3.79,2.3,684.9,1042.64,731.4,680.73,649.13,770.57,-,-,-,7.03
Timor Tengah Utara,2878.67,3494.24,255.59,1096.09,2.64,-,638.17,442.52,995.09,942.94,972.85,998.8,-,-,14.33,13.9
Belu,2835.24,2819.27,356.3,352.09,3.44,27.58,179.65,416.82,1166.28,990.17,1121.16,1012.27,8.4,7.08,-,13.28
Alor,1370.83,1822.82,163.29,174.69,9.89,-,487.91,724.08,355.4,478.53,322.21,434.28,-,3.13,32.12,8.11
Lembata,1209.92,1831.18,447.31,567.21,-,25.17,40.12,362.26,400.61,460.02,308,408.13,-,-,13.88,8.39
Flores Timur,1247.3,1300.23,127.1,242.53,-,-,49.69,74.32,662.01,575.15,407.49,408.22,-,-,1.02,-
Sikka,960.85,877.63,134.98,120.81,-,-,88.49,99.61,464.69,379.04,272.69,278.17,-,-,-,-
Ende,1772.11,1947.06,106.31,109.89,12.78,16.3,69.44,137.04,919.99,952.04,663.58,700.64,-,-,-,31.14
Ngada,1871.44,2431.89,189.38,202,18.95,36.61,178.83,83.31,792.55,1105.62,691.73,995.58,-,0.02,-,8.75
Manggarai,2785.72,2531.6,51.71,44.27,25.79,2.44,594.44,386.33,1012.71,1006.04,1072.16,1087.23,-,-,28.91,5.29
Rote Ndao,1767.71,784.1,465.41,88.37,-,-,234.13,12.83,570.01,389.55,490.05,293.35,1.02,-,7.09,-
Manggarai Barat,1618.05,1372.46,55.73,38.6,-,-,307.9,202.51,581.31,541.85,672.02,578.39,-,6.24,1.1,4.87
Sumba Tengah,1134.03,1015.01,217.79,196.5,3.17,4.53,108.86,77.81,377.75,339.22,426.46,396.96,-,-,-,-
Sumba Barat Daya,1908.96,1665.26,705.89,212.23,12.75,2.12,139.78,225.1,549.33,654.76,498.53,527.03,0.83,36.42,1.86,7.61
Nagekeo,1247.49,1216.35,112.05,211.87,24.58,12.13,53.22,139.36,548.5,445.59,506.58,406.2,2.58,1.22,-,-
Manggarai Timur,1621.33,1806.36,71.19,47.36,25.56,45.35,226.29,338.48,529.68,671.58,767.96,694.19,-,9.39,0.65,-
Sabu Raijua,5362.56,3781.66,370.15,372.67,17.52,37.04,4127.13,2530.05,374.8,459.32,448.49,376.89,-,-,24.47,5.71
Malaka,2406.2,2397.93,125.18,112.59,2.43,20.03,506.55,582.21,909.6,819.33,853.06,852.92,7.26,9.48,2.11,1.37
Kota Kupang,3714.61,2888.12,188.12,134.79,-,-,269.28,160.83,1670.08,1315.14,1584.64,1263.36,2.49,9.13,-,4.88
Sambas,1819.31,1539.43,71.38,53.5,10.29,13.33,25.97,21.3,857.25,774.08,849.28,677.23,5.14,-,-,-
Bengkayang,2474.68,2638.08,41.22,66.96,4.92,-,26.94,3.63,1367.76,1429.83,1021.43,1117.55,4.1,12.95,8.31,7.15
Landak,2140.91,2509.64,127.95,99.57,2.16,21.93,65.11,10.45,1104.62,1308.49,829.03,1064.87,10.97,4.33,1.05,-
Mempawah,1845.73,1946.7,83.04,13.45,23.2,-,75.76,13.25,822.65,982.77,829.29,929.76,4.56,7.46,7.23,-
Sanggau,2268.34,2341.7,85.5,49.58,23.46,2.24,36.07,39.7,1101.63,1142.78,1019.71,1102.37,1.97,5.03,-,-
Ketapang,2441.41,2719.99,45.63,34.8,12.46,12.35,13,23.17,985.13,1232.08,1380.37,1400.98,4.82,16.62,-,-
Sintang,1826.34,2023.93,100.65,93.71,-,-,44.43,23.39,872.37,1069.09,794.99,836.8,11.66,0.94,2.24,-
Kapuas Hulu,1365.83,1783.48,22.33,95.72,-,-,8.85,18.71,744.24,859.75,588.11,800.29,2.3,9.01,-,-
Sekadau,1893.91,2374.24,99.89,105.32,48.56,37.02,39.44,23.99,946.2,1146.77,751.17,1038.61,1.21,22.53,7.43,-
Melawi,2050.06,2275.94,41.43,34.15,-,-,36.82,19.41,1039.83,1192.75,931.98,1029.63,-,-,-,-
Kayong Utara,2322.9,2486.72,87.46,178.73,-,-,91.61,38,973.33,1040.75,1170.5,1229.23,-,-,-,-
Kubu Raya,2179.76,2122.13,134.47,57.1,-,7.31,139.1,17.02,841.91,935.53,1052.6,1076.1,11.68,1.05,-,28.02
Kota Pontianak,2732.29,3088.14,84.66,126.74,21.97,28.86,141.71,72.06,1307.47,1509.36,1170.43,1338.14,6.05,7.9,-,5.08
Kota Singkawang,3074.59,2879.7,213.71,67.72,11.2,10.4,45.58,42.44,1638.08,1651.69,1124.13,1074.34,7.36,2.45,34.54,30.66
Kotawaringin Barat,4251.58,4855.17,188.75,141.08,7.82,62.95,87.88,141.01,2025.96,2128.31,1918.77,2342.82,11.75,39,10.66,-
Kotawaringin Timur,3492.38,3475.02,253.02,85.4,9.54,-,30.84,62.6,1669.16,1618.32,1523.81,1703.15,6,5.55,-,-
